,filename,color_predict,correct_colors,resistance_predict,tolerance_predict
0,yellow-purple-silver-gold-10.jpg,blue-gold,0,NaN,NaN
1,brown-green-silver-gold-1.jpg,brown-grey-silver-gold,3,0.18,0
2,orange-white-silver-gold-4.jpg,orange-orange-white-silver,1,33000000000.0,0
3,yellow-purple-silver-gold-2.jpg,purple-grey-gold-silver,0,7.800000000000001,0
4,red-purple-silver-gold-9.jpg,red-purple-silver-gold,4,0.27,0
5,blue-grey-silver-gold-10.jpg,grey-grey-silver-gold,3,0.88,0
6,red-purple-silver-gold-2.jpg,red-purple-silver,3,0.27,0
7,yellow-purple-silver-gold-0.jpg,purple-grey-silver-gold,2,0.78,0
8,orange-white-silver-gold-9.jpg,orange-white-gold-silver,2,3.9000000000000004,0
9,red-purple-silver-gold-5.jpg,red-purple-silver-gold,4,0.27,0
10,blue-grey-silver-gold-2.jpg,blue-black-silver-gold,3,0.6,0
11,yellow-purple-silver-gold-13.jpg,green-blue-silver-white,1,0.56,0
12,orange-white-silver-gold-20.jpg,orange-white-silver-gold,4,0.39,0
13,orange-white-silver-gold-12.jpg,orange-white-gold,2,3.9000000000000004,0
14,yellow-purple-silver-gold-19.jpg,purple-gold,0,NaN,NaN
15,blue-grey-silver-gold-3.jpg,blue-grey-silver-gold,4,0.68,0
16,green-blue-silver-gold-0.jpg,green-blue-silver-gold,4,0.56,0
17,orange-white-silver-gold-17.jpg,orange-white-silver-gold,4,0.39,0
18,blue-grey-silver-gold-16.jpg,gold-gold,0,NaN,NaN
19,blue-grey-silver-gold-8.jpg,blue-grey-silver-gold,4,0.68,0
20,green-blue-silver-gold-5.jpg,green-blue-gold-silver,2,5.6000000000000005,0
21,red-purple-silver-gold-8.jpg,red-purple-silver-gold,4,0.27,0
22,yellow-purple-silver-gold-11.jpg,green-blue-silver,1,0.56,0
23,yellow-purple-silver-gold-14.jpg,blue-silver,0,NaN,NaN
24,red-purple-silver-gold-3.jpg,red-purple-silver-grey,3,0.27,0
25,orange-white-silver-gold-3.jpg,orange-white-gold-silver,2,3.9000000000000004,0
26,red-purple-silver-gold-4.jpg,red-purple-silver-gold,4,0.27,0
27,orange-white-silver-gold-13.jpg,orange-white-gold,2,3.9000000000000004,0
28,yellow-purple-silver-gold-12.jpg,green-blue-silver,1,0.56,0
29,brown-green-silver-gold-6.jpg,brown-green,2,NaN,NaN
30,orange-white-silver-gold-15.jpg,orange-grey-gold,1,3.8000000000000003,0
31,blue-grey-silver-gold-18.jpg,blue-grey-gold-silver,2,6.800000000000001,0
32,orange-white-silver-gold-1.jpg,orange-orange-gold-white,1,3.3000000000000003,0
33,blue-grey-silver-gold-5.jpg,blue-grey-silver-gold,4,0.68,0
34,brown-green-silver-gold-8.jpg,brown-green-silver-grey,3,0.15,0
35,blue-grey-silver-gold-7.jpg,blue-grey-silver-gold,4,0.68,0
36,blue-grey-silver-gold-0.jpg,blue-black-silver-gold,3,0.6,0
37,green-blue-silver-gold-9.jpg,green-blue-silver-gold,4,0.56,0
38,orange-white-silver-gold-7.jpg,orange-white-gold-silver,2,3.9000000000000004,0
39,yellow-purple-silver-gold-17.jpg,grey-purple-silver-gold,3,0.87,0
40,blue-grey-silver-gold-11.jpg,grey-grey-gold-gold,2,8.8,0
41,yellow-purple-silver-gold-15.jpg,yellow-purple-silver-gold,4,0.47000000000000003,0
42,brown-green-silver-gold-3.jpg,brown-grey-gold,1,1.8,0
43,brown-green-silver-gold-0.jpg,green-grey-silver,1,0.58,0
44,orange-white-silver-gold-5.jpg,orange-white-silver-gold,4,0.39,0
45,blue-grey-silver-gold-4.jpg,blue-black-silver-gold,3,0.6,0
46,blue-grey-silver-gold-13.jpg,black-grey-gold-silver,1,NaN,NaN
47,blue-grey-silver-gold-6.jpg,blue-grey-silver-gold,4,0.68,0
48,green-blue-silver-gold-1.jpg,green-blue-silver-gold,4,0.56,0
49,red-purple-silver-gold-6.jpg,red-purple-silver,3,0.27,0
50,yellow-purple-silver-gold-6.jpg,yellow-purple-silver-gold,4,0.47000000000000003,0
51,yellow-purple-silver-gold-9.jpg,yellow-purple-silver-gold,4,0.47000000000000003,0
52,brown-green-silver-gold-4.jpg,brown-green-silver-gold,4,0.15,0
53,green-blue-silver-gold-3.jpg,green-blue-silver-gold,4,0.56,0
54,yellow-purple-silver-gold-5.jpg,purple-white,0,NaN,NaN
55,orange-white-silver-gold-10.jpg,orange-white-silver-gold,4,0.39,0
56,yellow-purple-silver-gold-18.jpg,purple-gold,0,NaN,NaN
57,green-blue-silver-gold-6.jpg,green-blue-silver-gold,4,0.56,0
58,blue-grey-silver-gold-14.jpg,blue-grey-gold-gold,3,6.800000000000001,0
59,brown-green-silver-gold-2.jpg,silver-gold,0,NaN,NaN
60,red-purple-silver-gold-1.jpg,red-purple-silver-gold,4,0.27,0
61,orange-white-silver-gold-6.jpg,orange-white-gold-silver,2,3.9000000000000004,0
62,orange-white-silver-gold-16.jpg,orange-white-gold,2,3.9000000000000004,0
63,yellow-purple-silver-gold-8.jpg,yellow-purple-gold-gold,3,4.7,0
64,blue-grey-silver-gold-15.jpg,blue-grey-silver-gold,4,0.68,0
65,brown-green-silver-gold-7.jpg,brown-green-silver,3,0.15,0
66,green-blue-silver-gold-2.jpg,green-blue-silver-gold,4,0.56,0
67,orange-white-silver-gold-18.jpg,orange-gold,1,NaN,NaN
68,red-purple-silver-gold-7.jpg,red-purple-silver-grey,3,0.27,0
69,orange-white-silver-gold-11.jpg,orange-white-gold,2,3.9000000000000004,0
70,red-purple-silver-gold-0.jpg,red-purple-silver,3,0.27,0
71,orange-white-silver-gold-19.jpg,orange-white-silver-gold,4,0.39,0
72,blue-grey-silver-gold-19.jpg,blue-grey-silver-gold,4,0.68,0
73,yellow-purple-silver-gold-1.jpg,yellow-purple-silver-grey,3,0.47000000000000003,0
74,yellow-purple-silver-gold-16.jpg,purple-silver,0,NaN,NaN
75,green-blue-silver-gold-8.jpg,green-blue-silver-gold,4,0.56,0
76,brown-green-silver-gold-5.jpg,brown-green-silver-silver,3,0.15,0
77,yellow-purple-silver-gold-4.jpg,yellow-purple-silver-gold,4,0.47000000000000003,0
78,orange-white-silver-gold-14.jpg,orange-gold,1,NaN,NaN
79,orange-white-silver-gold-2.jpg,orange-white-gold-silver,2,3.9000000000000004,0
80,yellow-purple-silver-gold-7.jpg,yellow-purple-silver-gold,4,0.47000000000000003,0
81,green-blue-silver-gold-4.jpg,green-blue-silver-gold,4,0.56,0
82,blue-grey-silver-gold-12.jpg,blue-grey-silver-gold,4,0.68,0
83,blue-grey-silver-gold-9.jpg,blue-grey-silver-gold,4,0.68,0
84,green-blue-silver-gold-7.jpg,green-blue-silver-gold,4,0.56,0
85,yellow-purple-silver-gold-3.jpg,yellow-purple-silver-gold,4,0.47000000000000003,0
86,orange-white-silver-gold-8.jpg,orange-white-silver-gold,4,0.39,0
