,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
215,0.14919354838709678,Silver,0.7804878048780488,0.9692581300813009,White,0.3333333333333333,0.7235751560637719,bYCrCb,5,0.7300000000000004
358,0.18951612903225806,Silver,0.7948717948717948,0.966996891996892,Grey,0.125,0.7049996731598004,bYCrCb,5,1.2100000000000009
844,0.09274193548387097,Silver,0.717391304347826,0.9669254658385094,Grey,0.375,0.7842541429398535,bYCrCb,5,2.8299999999999836
861,0.14516129032258066,Silver,0.8,0.9665938506109505,Grey,0.375,0.7172465002955537,bYCrCb,5,2.8899999999999824
637,0.10483870967741936,Silver,0.72,0.9655443208628244,White,0.08333333333333333,0.7570396254946893,bYCrCb,5,2.1399999999999983
857,0.15725806451612903,Silver,0.8333333333333334,0.9654428904428906,White,0.4166666666666667,0.7155450270964744,bYCrCb,5,2.869999999999983
694,0.14516129032258066,Silver,0.7804878048780488,0.9636614740273278,Grey,0.25,0.7317772815053475,bYCrCb,5,2.3299999999999943
602,0.14516129032258066,Silver,0.7551020408163265,0.963566195709053,Grey,0.125,0.6854673047837854,bYCrCb,5,2.020000000000001
773,0.13709677419354838,Silver,0.7441860465116279,0.9622874541479193,Grey,0.125,0.7247361466668981,bYCrCb,5,2.5899999999999888
739,0.1532258064516129,Silver,0.775,0.9613788074543889,Grey,0.125,0.7187939478795866,bYCrCb,5,2.479999999999991
450,0.16129032258064516,Silver,0.7567567567567568,0.9606988411336238,Grey,0.25,0.7045902294212211,bYCrCb,5,1.5200000000000011
421,0.1814516129032258,Silver,0.8108108108108109,0.9605357216484217,Grey,0.25,0.6899170836464207,bYCrCb,5,1.420000000000001
437,0.16532258064516128,Silver,0.75,0.9601959031306858,Grey,0.125,0.6638894703106231,bYCrCb,5,1.470000000000001
684,0.125,Silver,0.7317073170731707,0.9595808933613812,White,0.25,0.7365596106278223,bYCrCb,5,2.299999999999995
539,0.16129032258064516,Silver,0.85,0.9593253968253969,Grey,0.25,0.691356137931718,bYCrCb,5,1.8100000000000014
