id,label,L,a,b
0,Yellow,73,-9,29
1,Yellow,74,-12,33
2,Purple,19,12,-24
3,Purple,10,27,-37
4,Purple,10,20,-30
5,Silver,43,0,1
6,Silver,38,-2,0
7,Silver,42,-1,-1
8,Gold,67,-1,18
9,Gold,67,-1,18
10,Yellow,72,-7,23
11,Yellow,73,-12,33
12,Purple,9,23,-34
13,Purple,32,8,-10
14,Silver,42,-2,-1
15,Silver,38,-1,-3
16,Gold,65,-1,18
17,Yellow,81,-3,46
18,Yellow,76,-3,51
19,Yellow,76,-4,49
20,Purple,16,30,-40
21,Purple,22,29,-40
22,Purple,20,29,-38
23,Silver,56,2,16
24,Silver,50,7,9
25,Silver,53,6,15
26,Gold,31,5,28
27,Gold,32,5,26
28,Gold,30,5,26
29,Yellow,67,-7,25
30,Yellow,68,-8,26
31,Yellow,68,-10,29
32,Yellow,63,-11,28
33,Purple,29,15,-31
34,Purple,14,25,-44
35,Purple,27,19,-36
36,Purple,14,25,-43
37,Silver,53,-3,3
38,Silver,51,-1,1
39,Gold,85,-2,15
40,Gold,85,-2,15
41,Gold,72,-2,14
42,Brown,37,10,11
43,Brown,22,14,12
44,Brown,22,12,12
45,Brown,37,11,9
46,Brown,27,14,12
47,Green,65,-9,21
48,Green,52,-14,24
49,Green,47,-19,26
50,Green,47,-19,26
51,Silver,69,1,1
52,Silver,73,1,2
53,Silver,69,1,1
54,Gold,62,1,14
55,Gold,62,1,14
56,Gold,65,-1,16
57,Yellow,73,-8,23
58,Yellow,73,-11,27
59,Yellow,74,-12,28
60,Yellow,72,-6,20
61,Purple,29,8,-14
62,Purple,9,25,-35
63,Purple,10,24,-37
64,Purple,10,25,-36
65,Purple,40,6,-5
66,Purple,14,19,-29
67,Silver,45,-1,1
68,Silver,45,-2,-1
69,Silver,44,0,-3
70,Silver,40,-2,-2
71,Silver,40,-3,2
72,Gold,77,-1,18
73,Gold,77,-1,18
74,Gold,77,-1,18
75,Gold,75,-1,17
76,Brown,28,6,8
77,Brown,16,8,3
78,Brown,18,8,3
79,Brown,17,7,2
80,Brown,16,9,3
81,Brown,33,5,9
82,Green,52,-8,14
83,Green,37,-10,16
84,Green,24,-12,16
85,Green,25,-13,18
86,Green,31,-11,16
87,Green,46,-8,15
88,Silver,40,0,-3
89,Silver,37,2,-6
90,Silver,37,2,-4
91,Silver,46,1,0
92,Silver,41,0,0
93,Gold,27,6,6
94,Gold,25,3,9
95,Gold,25,4,9
96,Gold,29,4,10
97,Yellow,82,-3,46
98,Yellow,82,-3,49
99,Yellow,81,-4,51
100,Yellow,81,-4,50
101,Yellow,80,-5,49
102,Purple,25,22,-23
103,Purple,12,29,-38
104,Purple,18,28,-39
105,Purple,18,28,-39
106,Purple,22,22,-30
107,Purple,45,12,-8
108,Silver,58,2,14
109,Silver,57,2,7
110,Silver,58,1,6
111,Silver,62,-2,7
112,Silver,62,0,7
113,Gold,57,4,24
114,Gold,36,7,27
115,Gold,34,6,28
116,Gold,34,7,25
117,Gold,35,7,28
118,Gold,43,6,28
119,Brown,32,3,16
120,Brown,32,3,16
121,Brown,32,3,16
122,Brown,68,1,17
123,Brown,57,2,12
124,Green,62,-11,20
125,Green,54,-11,20
126,Green,51,-10,19
127,Green,54,-11,20
128,Green,60,-10,20
129,Silver,68,-2,7
130,Silver,66,-2,6
131,Silver,66,-2,5
132,Silver,66,-2,5
133,Silver,68,-2,6
134,Silver,74,-2,7
135,Gold,67,-2,9
136,Gold,70,-2,11
137,Gold,66,-2,9
138,Yellow,85,-7,33
139,Yellow,87,-9,41
140,Yellow,86,-9,41
141,Yellow,84,-8,36
142,Purple,52,17,-23
143,Purple,28,34,-49
144,Purple,25,39,-56
145,Purple,27,37,-52
146,Purple,41,25,-35
147,Purple,60,15,-19
148,Silver,75,0,2
149,Silver,74,0,1
150,Silver,74,-2,2
151,Silver,76,-2,3
152,Silver,77,0,5
153,Gold,74,1,23
154,Gold,73,1,26
155,Gold,74,2,28
156,Gold,76,1,30
157,Gold,76,1,29
