id,label,L,a,b
0,Blue,14,30,-51
1,Blue,15,28,-51
2,Grey,30,3,-12
3,Grey,31,3,-12
4,Silver,73,-5,-13
5,Silver,70,-4,-9
6,Silver,67,-2,-10
7,Gold,50,0,29
8,Gold,52,0,27
9,Gold,55,-2,26
10,Blue,34,7,-25
11,Blue,28,7,-30
12,Grey,34,1,-9
13,Grey,39,-1,-3
14,Blue,21,30,-57
15,Blue,24,27,-55
16,Grey,40,2,-19
17,Grey,40,2,-18
18,Silver,78,1,-15
19,Silver,75,0,-12
20,Gold,56,3,26
21,Gold,57,1,26
22,Blue,20,27,-52
23,Blue,25,18,-47
24,Grey,36,5,-13
25,Silver,75,0,-14
26,Silver,73,-1,-14
27,Silver,69,0,-9
28,Silver,70,1,-9
29,Gold,67,-2,20
30,Gold,70,-3,21
31,Gold,69,-5,24
32,Gold,70,-5,24
33,Blue,18,38,-61
34,Blue,16,39,-61
35,Blue,20,27,-52
36,Grey,37,2,-9
37,Grey,37,2,-9
38,Silver,80,-3,-15
39,Silver,80,-1,-14
40,Gold,69,-4,28
41,Gold,72,-6,27
42,Gold,70,-2,25
43,Gold,74,-3,24
44,Gold,72,-5,24
45,Blue,16,20,-43
46,Blue,17,22,-45
47,Grey,33,0,-8
48,Grey,33,0,-2
49,Silver,65,-7,-1
50,Silver,63,-4,-5
51,Gold,47,-1,24
52,Gold,42,3,24
53,Gold,38,4,25
54,Blue,51,3,-50
55,Blue,50,-3,-40
56,Grey,60,-1,-4
57,Grey,60,-1,-6
58,Silver,86,-8,-5
59,Gold,80,-3,44
60,Gold,79,-2,43
61,Gold,78,-1,38
62,Silver,85,-7,9
63,Silver,83,-10,6
64,Blue,53,4,-49
65,Blue,45,17,-63
66,Blue,54,2,-48
67,Grey,63,-2,-13
68,Grey,64,-2,-12
69,Silver,92,-7,-8
70,Silver,92,-6,-10
71,Gold,90,-7,25
72,Gold,86,-5,24
73,Gold,92,-7,21
74,Blue,25,21,-51
75,Blue,42,7,-37
76,Blue,27,14,-43
77,Grey,41,6,-5
78,Silver,92,1,-1
79,Silver,92,-1,-9
80,Silver,92,-2,-6
81,Gold,85,4,31
82,Gold,86,4,29
83,Grey,44,9,-1
84,Grey,58,5,14
85,Blue,21,21,-49
86,Blue,21,21,-49
87,Grey,39,5,-10
88,Silver,85,2,4
89,Silver,87,3,-1
90,Gold,88,4,39
91,Gold,88,3,37
92,Blue,25,6,-32
93,Blue,22,15,-43
94,Grey,36,4,-7
95,Silver,93,0,-1
96,Silver,92,1,-8
97,Silver,93,-1,-10
98,Silver,91,-1,-7
99,Gold,91,2,29
100,Gold,91,2,29
101,Gold,85,1,37
102,Gold,78,2,36
103,Brown,15,29,19
104,Brown,16,27,19
105,Brown,18,27,15
106,Black,3,17,-32
107,Black,6,20,-33
108,Black,8,13,-28
109,Black,6,19,-35
110,Black,3,21,-33
111,Black,9,14,-30
112,Brown,15,30,10
113,Brown,15,28,14
114,Brown,19,25,6
115,Brown,17,26,9
116,Brown,14,25,16
117,Brown,11,28,16
118,Brown,12,27,15
119,Black,12,5,-12
120,Black,10,9,-18
121,Black,6,16,-31
122,Black,3,19,-31
123,Brown,16,26,8
124,Brown,15,28,13
125,Brown,19,24,9
126,Black,6,13,-27
127,Black,4,19,-32
128,Black,8,16,-32
129,Brown,16,31,19
130,Brown,18,28,22
131,Brown,23,27,16
132,Brown,28,22,10
133,Black,5,13,-26
134,Black,6,16,-30
135,Black,7,19,-34
136,Black,8,16,-32
137,Brown,18,28,10
138,Brown,21,27,9
139,Brown,22,24,5
140,Brown,25,21,7
141,Brown,24,29,7
142,Brown,23,30,14
143,Brown,23,27,14
144,Brown,28,23,8
145,Black,10,18,-35
146,Black,11,8,-24
147,Black,9,23,-29
148,Black,9,23,-29
149,Brown,25,26,4
150,Brown,24,27,5
151,Brown,24,24,9
152,Brown,26,24,14
153,Brown,16,28,19
154,Brown,16,25,20
155,Brown,22,22,13
156,Brown,28,17,10
157,Black,7,18,-33
158,Black,7,16,-25
159,Black,7,14,-25
160,Black,7,18,-32
161,Black,5,18,-29
162,Black,7,17,-29
163,Brown,22,26,-8
164,Brown,23,26,5
165,Brown,21,27,17
166,Brown,22,27,14
167,Brown,72,8,11
168,Brown,47,14,20
169,Brown,30,26,21
170,Black,25,-3,-14
171,Black,23,-3,-22
172,Brown,43,20,9
173,Brown,63,7,4
174,Black,33,0,-16
175,Brown,45,22,13
176,Brown,36,13,-1
177,Brown,40,20,17
178,Black,18,-3,-16
179,Black,20,-3,-11
180,Black,20,4,-20
181,Black,19,7,-22
182,Brown,30,27,8
183,Brown,31,27,11
184,Brown,39,14,2
185,Brown,38,19,9
186,Brown,50,15,14
187,Brown,41,19,20
188,Brown,33,23,20
189,Brown,31,18,15
190,Black,25,2,-29
191,Black,34,-3,-17
192,Black,26,-2,-15
193,Black,24,-6,-19
194,Brown,35,16,12
195,Brown,32,24,20
196,Brown,30,27,18
197,Brown,35,15,-6
198,Brown,50,13,8
199,Brown,52,8,5
200,Brown,42,37,25
201,Brown,40,41,38
202,Brown,40,43,40
203,Brown,43,33,27
204,Brown,65,11,8
205,Black,18,11,-24
206,Black,15,13,-23
207,Black,12,18,-29
208,Black,14,16,-30
209,Brown,41,37,25
210,Brown,43,39,28
211,Brown,42,39,35
212,Brown,41,38,34
213,Brown,49,37,28
214,Brown,52,38,30
215,Brown,49,35,28
216,Black,25,9,-28
217,Black,21,10,-29
218,Black,31,12,-45
219,Black,28,13,-34
